run_id,job_name,started_at,duration_sec,status,retries,triggered_by,service
R-00001,failover_drill,2026-08-01 00:18:58.653520640,26.0,timeout,1,schedule,notifications
R-00002,purge_cache,2026-08-10 23:02:28.854685440,161.0,success,0,pipeline,notifications
R-00003,purge_cache,2026-08-07 14:23:14.583755520,17.0,success,2,alert,notifications
R-00004,purge_cache,2026-08-08 17:15:23.548491008,126.0,success,3,schedule,billing-worker
R-00005,db_vacuum,2026-08-14 20:10:45.527402240,113.0,failed,2,pipeline,auth-service
R-00006,restart_pod,2026-08-02 21:51:58.145405184,1505.0,success,2,alert,checkout-api
R-00007,failover_drill,2026-08-30 05:14:12.576860672,69.0,success,0,alert,billing-worker
R-00008,purge_cache,2026-08-12 17:11:13.919974656,23.0,success,2,alert,checkout-api
R-00009,failover_drill,2026-08-16 08:11:28.137708288,111.0,success,2,pipeline,auth-service
R-00010,rotate_secrets,2026-08-08 10:12:56.087842304,126.0,success,2,alert,notifications
R-00011,snapshot_rds,2026-08-08 09:52:16.803038976,21.0,success,0,schedule,auth-service
R-00012,snapshot_rds,2026-08-19 19:58:56.168701952,17.0,success,0,manual,billing-worker
R-00013,failover_drill,2026-08-09 12:52:52.099217408,109.0,success,0,pipeline,notifications
R-00014,failover_drill,2026-09-08 09:21:16.181229312,311.0,success,0,alert,notifications
R-00015,rotate_secrets,2026-09-11 16:43:52.161417728,49.0,success,3,schedule,search-api
R-00016,restart_pod,2026-09-12 13:38:13.400794880,86401.0,failed,1,alert,billing-worker
R-00017,purge_cache,2026-08-25 21:19:01.945150720,38.0,success,2,alert,notifications
R-00018,rotate_secrets,2026-09-05 01:06:45.957806848,191.0,success,3,manual,billing-worker
R-00019,db_vacuum,2026-08-02 05:26:18.817726208,35.0,success,2,alert,billing-worker
R-00020,snapshot_rds,2026-08-07 20:44:02.178304256,309.0,success,1,alert,billing-worker
R-00021,purge_cache,2026-08-07 21:23:39.558159616,9.0,success,3,alert,checkout-api
R-00022,snapshot_rds,2026-08-30 09:14:02.446774272,38.0,success,0,alert,checkout-api
R-00023,db_vacuum,2026-08-07 09:17:00.692059392,62.0,success,0,alert,notifications
R-00024,db_vacuum,2026-09-08 09:55:22.471131392,162.0,success,0,schedule,checkout-api
R-00025,failover_drill,2026-09-13 10:51:32.603849728,31.0,success,1,schedule,checkout-api
R-00026,scale_deployment,2026-08-12 00:24:34.253495808,40.0,success,1,alert,auth-service
R-00027,rotate_secrets,2026-08-14 12:06:33.727439104,75.0,failed,3,manual,notifications
R-00028,rotate_secrets,2026-09-07 00:13:22.792436224,426.0,success,1,alert,notifications
R-00029,snapshot_rds,2026-08-21 05:04:04.964155392,9.0,success,2,schedule,search-api
R-00030,scale_deployment,2026-08-23 14:37:34.952157184,164.0,success,0,schedule,auth-service
R-00031,scale_deployment,2026-08-27 17:04:21.914929920,89.0,success,2,alert,auth-service
R-00032,snapshot_rds,2026-08-10 23:24:39.275264512,100.0,success,0,alert,billing-worker
R-00033,scale_deployment,2026-08-07 18:22:15.394893824,133.0,success,1,alert,checkout-api
R-00034,snapshot_rds,2026-08-09 19:09:21.016476672,66.0,success,2,alert,notifications
R-00035,purge_cache,2026-08-27 02:18:15.071311872,130.0,success,2,alert,notifications
R-00036,cert_renewal,2026-08-15 00:36:42.070905600,73.0,success,0,schedule,search-api
