incident_id,opened_at,resolved_at,service,severity,trigger,mttr_min,customers_affected,region
INC-0000,2026-08-01 05:50:00,2026-08-01 08:56:00,checkout-api,SEV3,slo_burn,190,35699,us-west-2
INC-0002,2026-08-02 11:23:00,2026-08-02 12:44:00,billing-worker,SEV3,alert_cpu,103,61433,us-west-2
INC-0029,2026-08-02 19:36:00,2026-08-02 23:16:00,auth-service,SEV3,slo_burn,216,15667,us-west-2
INC-0020,2026-08-05 22:48:00,2026-08-06 01:19:00,billing-worker,SEV3,customer_report,120,48189,us-east-1
INC-0034,2026-08-08 20:55:00,2026-08-08 22:20:00,checkout-api,SEV1,alert_cpu,90,23233,eu-west-1
INC-0022,2026-08-09 16:49:00,2026-08-09 18:40:00,auth-service,SEV3,alert_errors,135,41860,us-east-1
INC-0005,2026-08-10 12:38:00,2026-08-10 14:39:00,checkout-api,SEV3,alert_cpu,153,53627,us-east-1
INC-0001,2026-08-11 04:16:00,2026-08-11 06:31:00,search-api,SEV1,slo_burn,125,32268,us-west-2
INC-0004,2026-08-11 18:35:00,2026-08-11 21:50:00,billing-worker,SEV3,canary_regression,202,812,eu-west-1
INC-0030,2026-08-12 14:03:00,2026-08-12 15:10:00,search-api,SEV3,alert_cpu,67,11934,us-east-1
INC-0014,2026-08-12 15:01:00,2026-08-12 18:17:00,checkout-api,SEV3,customer_report,223,40380,us-east-1
INC-0006,2026-08-12 18:33:00,2026-08-12 20:24:00,search-api,SEV3,alert_errors,89,49835,us-west-2
INC-0021,2026-08-12 22:51:00,2026-08-12 23:37:00,checkout-api,SEV2,slo_burn,56,42665,us-east-1
INC-0033,2026-08-14 07:46:00,2026-08-14 11:23:00,checkout-api,SEV3,alert_latency,272,54164,us-west-2
INC-0007,2026-08-15 02:20:00,2026-08-15 03:26:00,search-api,SEV1,alert_cpu,68,13256,us-east-1
INC-0009,2026-08-15 12:34:00,2026-08-15 14:45:00,billing-worker,SEV3,alert_errors,133,9822,us-west-2
INC-0010,2026-08-16 14:42:00,2026-08-16 18:19:00,checkout-api,SEV2,alert_errors,177,52730,us-west-2
INC-0025,2026-08-18 08:40:00,2026-08-18 10:27:00,billing-worker,SEV3,alert_errors,118,49058,us-east-1
INC-0031,2026-08-18 17:11:00,2026-08-18 20:58:00,checkout-api,SEV2,alert_cpu,161,78977,eu-west-1
INC-0028,2026-08-24 17:53:00,2026-08-24 18:04:00,checkout-api,SEV2,alert_cpu,11,76135,eu-west-1
INC-0024,2026-08-25 18:00:00,2026-08-25 21:43:00,checkout-api,SEV3,slo_burn,244,64235,us-east-1
INC-0008,2026-08-25 22:42:00,2026-08-26 01:01:00,search-api,SEV3,alert_cpu,142,35497,eu-west-1
INC-0015,2026-08-27 04:07:00,2026-08-27 05:09:00,search-api,SEV1,slo_burn,60,77138,eu-west-1
INC-0023,2026-08-28 05:49:00,2026-08-28 08:32:00,checkout-api,SEV3,slo_burn,179,50483,us-east-1
INC-0003,2026-08-30 13:59:00,2026-08-30 16:14:00,search-api,SEV2,alert_latency,107,17869,us-west-2
INC-0032,2026-08-30 14:25:00,2026-08-30 17:30:00,auth-service,SEV2,alert_cpu,191,72303,eu-west-1
INC-0017,2026-08-31 09:23:00,2026-08-31 10:05:00,checkout-api,SEV3,alert_errors,40,40974,us-east-1
INC-0019,2026-08-31 20:56:00,2026-08-31 21:51:00,search-api,SEV3,slo_burn,45,38933,us-east-1
INC-0011,2026-09-01 12:50:00,2026-09-01 14:12:00,billing-worker,SEV1,alert_errors,60,49357,eu-west-1
INC-0026,2026-09-01 20:04:00,2026-09-01 22:54:00,notifications,SEV2,alert_cpu,203,71429,us-east-1
INC-0016,2026-09-04 08:32:00,2026-09-04 08:49:00,notifications,SEV1,alert_cpu,12,19793,us-west-2
INC-0013,2026-09-05 13:26:00,2026-09-05 14:26:00,notifications,SEV3,alert_latency,67,71085,us-east-1
INC-0012,2026-09-08 00:38:00,2026-09-08 04:00:00,billing-worker,SEV3,alert_latency,153,54715,us-west-2
INC-0027,2026-09-08 10:03:00,2026-09-08 11:46:00,billing-worker,SEV3,alert_latency,125,19901,us-west-2
INC-0018,2026-09-09 06:25:00,2026-09-09 06:58:00,auth-service,SEV2,slo_burn,40,3484,us-east-1
