ts,service,incident_id,burn_5x,burn_1x
2026-08-01 01:43:56.158558464,search-api,INC-0037,0.01657,0.00233
2026-08-01 01:48:56.158558464,search-api,INC-0037,0.05166,0.02307
2026-08-01 01:53:56.158558464,search-api,INC-0037,0.07281,0.02627
2026-08-01 01:58:56.158558464,search-api,INC-0037,0.08077,0.00033
2026-08-01 02:03:56.158558464,search-api,INC-0037,0.01066,0.01118
2026-08-01 02:08:56.158558464,search-api,INC-0037,0.0117,0.00267
2026-08-01 02:13:56.158558464,search-api,INC-0037,0.0022,0.012
2026-08-01 02:18:56.158558464,search-api,INC-0037,0.07583,0.01398
2026-08-01 02:23:56.158558464,search-api,INC-0037,2.23382,0.02485
2026-08-01 02:28:56.158558464,search-api,INC-0037,0.52379,0.01601
2026-08-01 02:33:56.158558464,search-api,INC-0037,0.13438,0.06905
2026-08-01 02:38:56.158558464,search-api,INC-0037,0.50224,0.30228
2026-08-01 02:43:56.158558464,search-api,INC-0037,0.01495,0.00437
2026-08-01 02:48:56.158558464,search-api,INC-0037,0.21806,0.15642
2026-08-01 02:53:56.158558464,search-api,INC-0037,0.31335,0.23426
2026-08-01 02:58:56.158558464,search-api,INC-0037,1.51179,0.01402
2026-08-01 03:03:56.158558464,search-api,INC-0037,0.03823,0.00719
2026-08-01 03:08:56.158558464,search-api,INC-0037,0.02777,0.00125
2026-08-01 03:13:56.158558464,search-api,INC-0037,0.07765,0.00478
2026-08-01 03:18:56.158558464,search-api,INC-0037,0.02155,0.00828
2026-08-01 03:23:56.158558464,search-api,INC-0037,0.02752,0.00401
2026-08-01 03:28:56.158558464,search-api,INC-0037,0.01436,0.0268
2026-08-01 03:33:56.158558464,search-api,INC-0037,0.00135,0.00206
2026-08-01 03:38:56.158558464,search-api,INC-0037,0.05781,0.00076
2026-08-01 20:36:33.160857088,billing-worker,INC-0012,0.2618,0.12634
2026-08-01 20:41:33.160857088,billing-worker,INC-0012,0.93663,0.01697
2026-08-01 20:46:33.160857088,billing-worker,INC-0012,0.2211,0.2114
2026-08-01 20:51:33.160857088,billing-worker,INC-0012,1.34841,0.01576
2026-08-01 20:56:33.160857088,billing-worker,INC-0012,0.05396,0.00274
2026-08-01 21:01:33.160857088,billing-worker,INC-0012,0.05754,0.04786
2026-08-01 21:06:33.160857088,billing-worker,INC-0012,1.81046,0.00429
2026-08-01 21:11:33.160857088,billing-worker,INC-0012,0.35657,0.08319
2026-08-01 21:16:33.160857088,billing-worker,INC-0012,0.00562,0.05158
2026-08-02 19:17:01.286824192,billing-worker,INC-0043,0.0578,0.00702
2026-08-02 19:22:01.286824192,billing-worker,INC-0043,0.01852,0.01657
2026-08-02 19:27:01.286824192,billing-worker,INC-0043,0.01174,0.00549
2026-08-02 19:32:01.286824192,billing-worker,INC-0043,2.335,0.00295
2026-08-02 19:37:01.286824192,billing-worker,INC-0043,1.15453,0.04501
2026-08-02 19:42:01.286824192,billing-worker,INC-0043,2.42099,0.00749
2026-08-02 19:47:01.286824192,billing-worker,INC-0043,0.19623,0.01943
2026-08-02 19:52:01.286824192,billing-worker,INC-0043,3.55755,0.02327
2026-08-02 19:57:01.286824192,billing-worker,INC-0043,2.33876,0.03379
2026-08-02 20:02:01.286824192,billing-worker,INC-0043,3.73853,0.00827
2026-08-02 20:07:01.286824192,billing-worker,INC-0043,0.62333,0.09181
2026-08-02 20:12:01.286824192,billing-worker,INC-0043,0.06976,0.00395
2026-08-02 20:17:01.286824192,billing-worker,INC-0043,0.01454,0.00767
2026-08-02 20:22:01.286824192,billing-worker,INC-0043,0.02852,0.00415
2026-08-03 01:52:11.153496832,billing-worker,INC-0050,0.02247,0.00956
2026-08-03 01:57:11.153496832,billing-worker,INC-0050,0.03203,0.01579
2026-08-03 02:02:11.153496832,billing-worker,INC-0050,0.01007,0.01176
2026-08-03 02:07:11.153496832,billing-worker,INC-0050,0.00219,0.0057
2026-08-03 02:12:11.153496832,billing-worker,INC-0050,0.43794,0.06736
2026-08-03 02:17:11.153496832,billing-worker,INC-0050,0.03361,0.04814
