ticket_id,created_at,category,priority,team,sla_min,resolution_min,rollback,sla_breached
T-00001,2026-08-02 17:31:00,service_request,P3,identity,120,363,0,1
T-00002,2026-09-05 15:43:00,service_request,P3,platform,480,304,0,0
T-00003,2026-08-17 08:51:00,incident,P2,identity,30,57,0,1
T-00004,2026-08-14 10:28:00,service_request,P4,payments,30,1253,0,1
T-00005,2026-08-01 11:29:00,incident,P3,identity,480,409,0,0
T-00006,2026-08-25 15:46:00,incident,P3,frontend,480,365,0,0
T-00007,2026-08-11 09:12:00,service_request,P4,platform,120,1233,0,1
T-00008,2026-09-03 11:17:00,service_request,P3,data,120,355,0,1
T-00009,2026-08-28 17:16:00,incident,P3,payments,1440,298,0,0
T-00010,2026-08-24 20:27:00,incident,P3,identity,480,362,0,0
T-00011,2026-08-31 14:37:00,incident,P2,platform,30,150,0,1
T-00012,2026-08-19 09:32:00,incident,P3,identity,1440,312,0,0
T-00013,2026-09-05 12:55:00,change,P3,identity,30,366,0,1
T-00014,2026-08-10 09:03:00,problem,P3,payments,480,402,0,0
T-00015,2026-08-11 15:30:00,incident,P1,data,1440,27,0,0
T-00016,2026-08-13 15:18:00,problem,P4,payments,1440,1164,0,0
T-00017,2026-08-26 10:39:00,change,P1,frontend,480,-6,0,0
T-00018,2026-08-24 11:10:00,change,P1,frontend,120,35,1,0
T-00019,2026-08-10 16:18:00,problem,P2,data,30,163,0,1
T-00020,2026-08-07 09:40:00,service_request,P2,frontend,1440,106,0,0
T-00021,2026-09-03 16:39:00,change,P4,platform,30,1192,0,1
T-00022,2026-09-08 17:10:00,incident,P3,platform,480,365,0,0
T-00023,2026-08-04 17:39:00,problem,P1,payments,1440,-618,0,0
T-00024,2026-08-17 22:25:00,service_request,P2,frontend,120,108,0,0
T-00025,2026-08-31 10:04:00,incident,P4,data,480,1217,0,1
T-00026,2026-08-05 18:21:00,incident,P3,frontend,1440,384,0,0
T-00027,2026-09-10 11:57:00,incident,P3,identity,30,292,0,1
T-00028,2026-09-01 12:26:00,incident,P3,frontend,480,361,0,0
T-00029,2026-08-04 16:54:00,service_request,P3,data,1440,353,0,0
T-00030,2026-09-02 16:26:00,service_request,P4,frontend,480,1207,0,1
T-00031,2026-08-11 15:59:00,service_request,P2,identity,1440,172,0,0
T-00032,2026-08-06 17:09:00,service_request,P2,frontend,480,76,0,0
T-00033,2026-09-04 10:58:00,incident,P4,frontend,480,1188,0,1
T-00034,2026-08-16 07:04:00,problem,P4,frontend,1440,1126,0,0
T-00035,2026-08-07 20:50:00,incident,P3,platform,480,376,0,0
T-00036,2026-08-22 20:11:00,service_request,P3,platform,120,355,0,1
T-00037,2026-08-25 12:10:00,service_request,P4,platform,120,1189,0,1
T-00038,2026-09-05 17:18:00,service_request,P1,data,120,-37,0,0
T-00039,2026-09-06 08:50:00,change,P1,payments,480,26,0,0
T-00040,2026-09-03 08:42:00,incident,P3,data,30,406,0,1
T-00041,2026-08-12 11:24:00,incident,P4,payments,480,1186,0,1
T-00042,2026-08-24 11:19:00,incident,P4,identity,480,1217,0,1
T-00043,2026-08-29 12:12:00,service_request,P3,platform,480,410,0,0
T-00044,2026-09-06 17:22:00,service_request,P1,platform,1440,22,0,0
T-00045,2026-09-02 10:33:00,incident,P3,payments,1440,372,0,0
T-00046,2026-08-13 11:17:00,incident,P3,identity,120,374,0,1
T-00047,2026-08-22 17:14:00,change,P3,data,480,317,0,0
T-00048,2026-08-03 07:12:00,change,P1,payments,1440,15,0,0
T-00049,2026-08-11 11:33:00,service_request,P3,identity,480,273,0,0
T-00050,2026-09-07 07:05:00,service_request,P4,payments,1440,1078,0,0
T-00051,2026-09-06 09:23:00,change,P4,data,480,1224,0,1
T-00052,2026-09-03 15:20:00,incident,P1,payments,120,0,0,0
T-00053,2026-08-15 10:06:00,incident,P1,identity,30,43,0,1
T-00054,2026-08-26 02:02:00,service_request,P1,platform,1440,30,0,0
T-00055,2026-08-08 09:34:00,incident,P2,frontend,120,107,0,0
T-00056,2026-08-04 12:44:00,incident,P1,platform,480,97,0,0
T-00057,2026-08-19 01:14:00,service_request,P2,data,480,81,0,0
T-00058,2026-08-04 09:20:00,change,P3,payments,1440,324,0,0
